postcode sector,Age 30 to 45,Age 30 to 45 %
BH19 1,244.0,0.11423220973782772
BH19 2,432.0,0.1518987341772152
BH19 3,126.0,0.13043478260869565
BH2  5,440.0,0.22011005502751377
BH2  6,361.0,0.18484383000512034
BH20 4,408.0,0.13910671667234914
BH20 5,307.0,0.15591670898933468
BH20 6,631.0,0.21970752089136492
BH20 7,402.0,0.1756993006993007
BH21 1,790.0,0.1425735426818264
BH21 2,772.0,0.16584317937701396
BH21 3,928.0,0.170902394106814
BH21 4,196.0,0.17769718948322757
BH21 5,209.0,0.17145200984413453
BH21 6,126.0,0.1575
BH21 7,284.0,0.1443823080833757
BH21 8,50.0,0.2
BH22 0,491.0,0.12281140570285143
BH22 8,748.0,0.13371469431533786
BH22 9,472.0,0.10535714285714286
BH23 1,491.0,0.1674053869757927
BH23 2,1131.0,0.1828617623282134
BH23 3,834.0,0.18245460511922992
BH23 4,586.0,0.11434146341463415
BH23 5,398.0,0.10847642409375852
BH23 6,38.0,0.1645021645021645
BH23 7,397.0,0.1712683347713546
BH23 8,376.0,0.15173527037933818
