postcode sector,EUpassport2011,%
BS40 7,13.0,0.8
BS40 8,29.0,0.8
BS40 9,2.0,0.3
BS41 8,7.0,0.8
BS41 9,79.0,1.5
BS48 1,52.0,0.9
BS48 2,64.0,0.9
BS48 3,46.0,0.8
BS48 4,43.0,0.8
BS49 4,69.0,0.8
BS49 5,34.0,1.0
BS5  0,908.0,10.4
BS5  6,1044.0,7.9
BS5  7,591.0,5.4
BS5  8,488.0,5.1
BS5  9,1100.0,11.1
BS6  5,524.0,4.9
BS6  6,588.0,4.5
BS6  7,392.0,3.9
BS7  0,935.0,6.1
BS7  8,351.0,3.4
BS7  9,725.0,4.7
BS8  1,329.0,6.8
BS8  2,381.0,5.3
BS8  3,196.0,3.8
BS8  4,378.0,4.3
BS9  1,303.0,3.6
BS9  2,151.0,2.3
BS9  3,226.0,2.6
BS9  4,229.0,3.1
CA1  1,152.0,6.9
CA1  2,520.0,4.7
CA1  3,216.0,2.0
CA10 1,19.0,0.3
CA10 2,28.0,0.9
CA10 3,29.0,0.6
CA11 0,66.0,1.5
CA11 7,174.0,4.9
CA11 8,124.0,1.6
CA11 9,114.0,1.8
CA12 4,91.0,1.9
CA12 5,111.0,3.4
CA13 0,69.0,0.8
CA13 9,47.0,0.7
CA14 1,20.0,0.2
CA14 2,57.0,1.1
CA14 3,20.0,0.2
CA14 4,56.0,0.9
CA14 5,38.0,0.5
CA15 6,38.0,0.9
CA15 7,72.0,1.1
CA15 8,50.0,1.0
CA16 6,39.0,0.6
CA17 4,41.0,0.8
CA18 1,5.0,1.5
CA19 1,8.0,0.7
CA2  4,170.0,1.6
CA2  5,241.0,3.2
CA2  6,89.0,1.0
CA2  7,278.0,2.3
CA20 1,14.0,0.4
CA21 2,2.0,0.2
CA22 2,34.0,0.4
CA23 3,10.0,0.7
CA24 3,4.0,0.3
CA25 5,45.0,0.7
CA26 3,9.0,0.2
CA27 0,23.0,1.4
CA28 6,57.0,0.6
CA28 7,32.0,1.1
CA28 8,46.0,0.5
CA28 9,23.0,0.3
CA3  0,77.0,1.3
CA3  8,6.0,1.8
CA3  9,121.0,1.6
CA4  0,9.0,0.3
CA4  8,43.0,0.8
CA4  9,1.0,0.1
CA5  6,6.0,0.2
CA5  7,22.0,0.7
CA6  4,34.0,0.8
CA6  5,41.0,1.2
CA6  6,12.0,0.8
CA7  0,5.0,0.3
CA7  1,12.0,0.8
CA7  2,11.0,0.4
CA7  3,9.0,0.3
CA7  4,21.0,0.5
CA7  5,5.0,0.3
CA7  8,9.0,0.5
CA7  9,28.0,0.5
CA8  1,26.0,0.5
CA8  2,10.0,0.5
CA8  7,3.0,0.2
CA8  9,12.0,0.5
CA9  3,11.0,0.5
CB1  1,439.0,12.1
CB1  2,974.0,12.8
CB1  3,2090.0,11.3
CB1  7,438.0,10.0
CB1  8,460.0,8.1
CB1  9,650.0,6.9
CB10 1,105.0,2.3
CB10 2,200.0,2.3
CB11 3,249.0,2.6
CB11 4,220.0,2.6
CB2  0,114.0,9.7
CB2  1,803.0,10.6
CB2  3,198.0,8.7
CB2  7,26.0,5.3
CB2  8,390.0,10.1
CB2  9,249.0,7.9
CB21 4,132.0,1.6
CB21 5,153.0,2.8
CB21 6,41.0,2.6
CB22 3,279.0,3.6
CB22 4,107.0,2.5
CB22 5,290.0,3.8
CB22 6,14.0,1.1
CB22 7,57.0,1.8
CB23 1,69.0,2.6
CB23 2,31.0,1.6
CB23 3,101.0,2.9
CB23 4,24.0,2.2
CB23 5,105.0,4.5
CB23 6,366.0,6.3
CB23 7,291.0,3.4
CB23 8,211.0,4.2
CB24 3,145.0,3.5
CB24 4,63.0,1.9
CB24 5,114.0,1.7
CB24 6,326.0,7.7
CB24 8,205.0,3.1
CB24 9,256.0,3.3
