postcode_sectors,code_constituency,turnout,women_age30to45,perc_eu,10to14%,15%,16to17%,18to19%,20to24%,25to29%,30to44%
E14  4,E14000882,62.18,0.14804480362966113,15.8,0.6,0,0,0.4,6.4,19,50.2
E3   4,E14000882,62.18,0.14804480362966113,7.2,6.3,1.3,2.3,2.6,13.7,14.7,24.5
E3   3,E14000882,62.18,0.14804480362966113,6.5,7,1.4,2.6,2.9,11.7,13.2,25.6
E3   2,E14000882,62.18,0.14804480362966113,8.5,4.6,0.8,1.5,2.1,12.9,18.5,27.5
E14  8,E14000882,62.18,0.14804480362966113,11.9,4.2,0.8,1.7,1.8,9,15.4,33.5
E14  6,E14000882,62.18,0.14804480362966113,7.4,7.1,1.7,2.6,2.7,9.2,11.4,24.6
E2   9,E14000882,62.18,0.14804480362966113,8.4,5.3,1.2,2.1,2,10.7,15.5,28.6
E14  7,E14000882,62.18,0.14804480362966113,7.3,7.2,1.4,2.5,2.6,10.9,13.2,26.5
E1W  2,E14000882,62.18,0.14804480362966113,15.6,2.2,0.5,0.7,1,9.5,20.3,36.7
E98  1,E14000882,62.18,0.14804480362966113,NA,NA,NA,NA,NA,NA,NA,NA
E1W  1,E14000882,62.18,0.14804480362966113,16.1,2,0.5,1,0.9,6.7,15.7,35.3
E1W  3,E14000882,62.18,0.14804480362966113,11.2,3.8,0.8,1.7,1.6,7.7,15.6,32.7
EC3N 4,E14000882,62.18,0.14804480362966113,NA,NA,NA,NA,NA,NA,NA,NA
E1   8,E14000882,62.18,0.14804480362966113,13.4,3.7,0.8,1.5,1.8,13,18.4,29.7
E1   2,E14000882,62.18,0.14804480362966113,8.2,5.6,1.1,2,3.4,13.5,15.2,26.3
E1   0,E14000882,62.18,0.14804480362966113,6.8,7.4,1.2,2.5,3.1,11.8,11.5,23.6
E1   6,E14000882,62.18,0.14804480362966113,16.7,2.7,0.6,1,2,14.5,23.7,32
E1   1,E14000882,62.18,0.14804480362966113,11.5,3.6,1,1.7,2.3,17,22.9,25.4
E1W  9,E14000882,62.18,0.14804480362966113,NA,NA,NA,NA,NA,NA,NA,NA
E1   3,E14000882,62.18,0.14804480362966113,7.5,6.3,1.2,2.7,3.1,12.5,13.3,23.7
E1   7,E14000882,62.18,0.14804480362966113,18.2,2.4,0.5,1.2,3,17,22.8,29
E17  4,E14001013,62.36000000000001,0.14788123378495244,13.5,5.9,1.2,2.4,2.2,7.7,9.3,26
E17  5,E14001013,62.36000000000001,0.14788123378495244,11.6,7.2,1.3,2.7,2.5,7,8,26.8
E4   9,E14001013,62.36000000000001,0.14788123378495244,5,6.5,1.4,2.9,2.7,6.9,6.5,21.2
E17  0,E14001013,62.36000000000001,0.14788123378495244,NA,NA,NA,NA,NA,NA,NA,NA
E4   8,E14001013,62.36000000000001,0.14788123378495244,5.4,6.2,1.4,2.8,3.1,7.6,6.4,20.4
E17  7,E14001013,62.36000000000001,0.14788123378495244,16,5.6,1,2.4,2,7.4,11.6,28.9
E17  6,E14001013,62.36000000000001,0.14788123378495244,16.5,4.4,0.9,1.8,1.8,7,14.9,29.2
N17  9,E14001013,62.36000000000001,0.14788123378495244,18,7,1.5,2.7,3.8,12.1,8.9,23.2
E17  3,E14001013,62.36000000000001,0.14788123378495244,11.9,6.2,1.1,2.5,2.3,7.8,9.4,25.8
E17  9,E14001013,62.36000000000001,0.14788123378495244,13.3,5,1,1.7,2.1,7.6,10.4,29.2
E17  8,E14001013,62.36000000000001,0.14788123378495244,15,5.3,1.2,2.2,2.1,7.9,10.7,27.9
E10  6,E14001013,62.36000000000001,0.14788123378495244,18,5.1,1,2.3,2.1,9.6,13.4,26
E10  7,E14001013,62.36000000000001,0.14788123378495244,15.6,5.9,1.5,2.5,2.3,8.1,10.6,25.9
E5   9,E14001013,62.36000000000001,0.14788123378495244,11.6,7.5,1.5,2.6,2.3,7.8,10.3,24.2
E11  1,E14001013,62.36000000000001,0.14788123378495244,12,3.9,0.8,3,1.9,8,12.9,28.2
SW19 1,E14001040,73.53,0.14774239064704697,12.1,3,0.5,1,0.7,6.5,17.6,37.4
SW19 3,E14001040,73.53,0.14774239064704697,8.1,5.3,0.8,1.9,1.3,4.9,10.3,27.5
SW19 2,E14001040,73.53,0.14774239064704697,16.3,3,0.6,1.6,1.6,8.8,16,32.4
SW20 9,E14001040,73.53,0.14774239064704697,8.3,5.1,1.2,2.3,1.8,5.5,7.8,24.9
SM4  4,E14001040,73.53,0.14774239064704697,6.9,5.8,1.2,2.6,2.3,5.7,6.3,21.2
SW20 8,E14001040,73.53,0.14774239064704697,9.4,3.3,0.7,1.3,0.9,4.7,10.9,32.4
SW19 7,E14001040,73.53,0.14774239064704697,11.3,4.5,1,1.8,1.3,5.3,10,27.9
SW20 0,E14001040,73.53,0.14774239064704697,8.7,5.2,1.1,1.8,1.5,4.6,7.8,25.7
SW19 8,E14001040,73.53,0.14774239064704697,10.1,3.6,0.7,1.5,1,6,12.7,32.2
SW19 4,E14001040,73.53,0.14774239064704697,10.1,3.4,0.7,1.3,1,4.1,11.4,29.7
SW19 9,E14001040,73.53,0.14774239064704697,NA,NA,NA,NA,NA,NA,NA,NA
SW19 5,E14001040,73.53,0.14774239064704697,11.5,6,1,1.8,1.4,3.7,7.2,23
SW20 2,E14001040,73.53,0.14774239064704697,NA,NA,NA,NA,NA,NA,NA,NA
SW19 6,E14001040,73.53,0.14774239064704697,16.5,5.4,1,2.1,2,6.9,13.9,27.9
SM4  5,E14001040,73.53,0.14774239064704697,12.3,6.3,1.3,2.7,2.4,6.6,8.2,24.7
SM4  9,E14001040,73.53,0.14774239064704697,NA,NA,NA,NA,NA,NA,NA,NA
KT3  4,E14001040,73.53,0.14774239064704697,6.9,6.1,1.4,2.7,2.4,5.9,6.4,22.2
KT3  6,E14001040,73.53,0.14774239064704697,7.6,6.3,1.1,2.4,2.2,5.8,6.7,23.3
SW18 5,E14001040,73.53,0.14774239064704697,11.4,5.1,0.9,1.7,1.3,4.9,11.1,31.5
SW18 4,E14001040,73.53,0.14774239064704697,10.2,3.7,0.7,1.8,1.6,7,17.3,35.6
SW17 0,E14001040,73.53,0.14774239064704697,12.1,4.1,0.7,1.8,3,12.9,14.3,28.4
NA,E14000673,67.07,0.14757616236480373,NA,NA,NA,NA,NA,NA,NA,NA
SE3  0,E14000718,63.71,0.14733379769367697,6,4.3,1.1,1.4,1.5,5.1,9.4,28.4
SE3  7,E14000718,63.71,0.14733379769367697,7,3.9,0.8,1.7,1.8,5.7,9.3,30.8
SE3  8,E14000718,63.71,0.14733379769367697,6.1,5.8,1.1,2.4,2.2,6.1,7,23.8
SE10 9,E14000718,63.71,0.14733379769367697,8.6,3.9,0.9,1.4,2.4,11,13.4,30.4
