Area code,All categories: Sex,Males,Females
E07000041,"117,773","57,211","60,562"
E07000042,"77,750","38,070","39,680"
E07000043,"93,667","45,558","48,109"
E07000044,"83,140","40,116","43,024"
E07000045,"124,220","60,179","64,041"
E07000046,"63,839","31,167","32,672"
E07000047,"53,553","26,123","27,430"
,,,
E10000009,"412,905","201,271","211,634"
E07000048,"47,752","22,874","24,878"
E07000049,"87,166","41,990","45,176"
E07000050,"68,583","34,216","34,367"
E07000051,"44,973","22,028","22,945"
E07000052,"99,264","47,731","51,533"
E07000053,"65,167","32,432","32,735"
,,,
E10000013,"596,984","292,586","304,398"
E07000078,"115,732","56,512","59,220"
E07000079,"82,881","40,104","42,777"
E07000080,"81,961","40,272","41,689"
E07000081,"121,688","60,104","61,584"
E07000082,"112,779","55,514","57,265"
E07000083,"81,943","40,080","41,863"
,,,
E10000027,"529,972","258,396","271,576"
E07000187,"109,279","53,387","55,892"
E07000188,"114,588","56,048","58,540"
E07000189,"161,243","79,106","82,137"
E07000190,"110,187","53,280","56,907"
E07000191,"34,675","16,575","18,100"
,,,
W92000004,"3,063,456","1,504,228","1,559,228"
,,,
W06000001,"69,751","34,274","35,477"
W06000002,"121,874","59,906","61,968"
W06000003,"115,228","55,749","59,479"
W06000004,"93,734","45,987","47,747"
W06000005,"152,506","75,247","77,259"
W06000006,"134,844","67,052","67,792"
W06000023,"132,976","65,683","67,293"
W06000008,"75,922","37,793","38,129"
W06000009,"122,439","59,823","62,616"
W06000010,"183,777","89,837","93,940"
W06000011,"239,023","118,087","120,936"
W06000012,"139,812","68,450","71,362"
W06000013,"139,178","68,789","70,389"
W06000014,"126,336","61,522","64,814"
W06000015,"346,090","169,893","176,197"
W06000016,"234,410","114,635","119,775"
W06000024,"58,802","28,791","30,011"
W06000018,"178,806","87,701","91,105"
W06000019,"69,814","34,325","35,489"
W06000020,"91,075","44,382","46,693"
W06000021,"91,323","44,922","46,401"
W06000022,"145,736","71,380","74,356"
,,,
S92000003 ,"5,295,403","2,567,444","2,727,959"
,,,
S12000033,"222,793","110,122","112,671"
S12000034,"252,973","125,269","127,704"
S12000041,"115,978","56,206","59,772"
S12000035,"88,166","43,140","45,026"
S12000005,"51,442","25,109","26,333"
S12000006,"151,324","73,405","77,919"
S12000042,"147,268","70,706","76,562"
S12000008,"122,767","59,389","63,378"
S12000045,"105,026","50,583","54,443"
S12000010,"99,717","47,873","51,844"
S12000011,"90,574","43,165","47,409"
S12000036,"476,626","232,364","244,262"
S12000013,"27,684","13,668","14,016"
S12000014,"155,990","76,150","79,840"
S12000015,"365,198","176,943","188,255"
S12000046 ,"593,245","286,076","307,169"
S12000017,"232,132","113,471","118,661"
S12000018,"81,485","38,999","42,486"
S12000019,"83,187","40,071","43,116"
S12000020,"93,295","45,941","47,354"
S12000021,"138,146","65,804","72,342"
S12000044,"337,727","163,382","174,345"
S12000023,"21,349","10,566","10,783"
S12000024,"146,652","71,443","75,209"
