Area code,All categories: Ethnic Group,White2,"Gypsy / Traveller / Irish Traveller3,4",Mixed / Multiple Ethnic Groups5,Asian / Asian British: Indian,Asian / Asian British: Pakistani,Asian / Asian British: Bangladeshi,Asian / Asian British: Chinese,Asian / Asian British: Other Asian,Black / African / Caribbean / Black British6,Other Ethnic Group
E07000085,"115,608","111,368",267,"1,305",481,31,165,316,866,517,292
E07000086,"125,199","118,346",191,"1,740","1,954",160,294,625,707,605,577
E07000087,"111,581","107,874",85,"1,359",663,77,125,467,335,357,239
E07000088,"82,622","79,653",32,"1,066",428,31,149,214,251,592,206
E07000089,"91,033","86,082",273,"1,457",880,141,136,435,856,506,267
E07000090,"120,684","117,098",64,"1,514",504,72,155,313,383,388,193
E07000091,"176,462","171,737",423,"1,620",472,34,195,338,626,612,405
E07000092,"93,807","79,365",155,"2,057","1,310",635,206,497,"7,107","1,868",607
E07000093,"116,398","111,492",153,"1,494",937,141,166,434,690,487,404
E07000094,"116,595","111,314",263,"1,626",665,92,222,745,915,457,296
,,,,,,,,,,,
