postcode_sectors,code_constituency,turnout,women_age30to45,perc_eu,10to14%,15%,16to17%,18to19%,20to24%,25to29%,30to44%,All residents,WhiteTot,White%,MixedTot,Mixed%,Asian/Asian British,Asian/Asian British%,Black/African/Carribean/Black British,Black/African/Carribean/Black British%
RG21 7,E14000545,66.62,12.3776576,7.5,3.1,0.5,1.1,1,9.6,19.4,33,3632,2467,67.9,94,2.6,971,26.7,76,2.1
RG21 6,E14000545,66.62,12.3776576,4.7,3.8,0,0.8,0.8,14.8,28.1,26.1,506,428,84.6,8,1.6,68,13.4,2,0.4
RG22 6,E14000545,66.62,12.3776576,3.5,5.7,1.2,2.5,2.1,6.3,6.5,19.4,10372,9686,93.4,199,1.9,324,3.1,141,1.4
RG23 8,E14000545,66.62,12.3776576,2.3,6.5,1.7,2.9,2,5.5,5.3,21.9,6981,6475,92.8,140,2,212,3,128,1.8
RG22 5,E14000545,66.62,12.3776576,1.7,6.9,1.6,2.7,2.2,4.9,4.9,20.9,10435,9876,94.6,151,1.4,310,3,78,0.7
RG27 0,E14000545,66.62,12.3776576,2,5.4,1.2,2.4,1.9,4.6,5.4,23.1,5473,5262,96.1,89,1.6,78,1.4,28,0.5
RG21 4,E14000545,66.62,12.3776576,6.8,5.6,1.7,2.4,2.1,6.7,10.8,25.4,3136,2688,85.7,98,3.1,243,7.7,87,2.8
RG24 4,E14000545,66.62,12.3776576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RG21 5,E14000545,66.62,12.3776576,3.7,6.5,1.5,3,2.6,6.7,7.6,22,7787,6831,87.7,173,2.2,594,7.6,155,2
RG23 7,E14000545,66.62,12.3776576,0.7,5.4,1.5,2.3,2,3.7,3.2,15.9,5288,5176,97.9,48,0.9,35,0.7,22,0.4
RG24 9,E14000545,66.62,12.3776576,4.7,6.5,1.1,2.3,2,7.2,10.4,25.9,16015,14023,87.6,403,2.5,1045,6.5,505,3.2
RG28 9,E14000545,66.62,12.3776576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RG26 5,E14000545,66.62,12.3776576,1.1,6.5,1.3,2.2,2,4,4.5,21.4,9135,8848,96.9,116,1.3,125,1.4,30,0.3
RG26 9,E14000545,66.62,12.3776576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RG25 3,E14000545,66.62,12.3776576,1.6,5.2,1.2,2.1,1.7,3.5,4.5,19.2,4522,4402,97.3,42,0.9,60,1.3,15,0.3
DN10 4,E14000546,64.18,9.2350973,0.4,6.2,1.3,2.1,1.7,3.5,3.3,18.1,5286,5250,99.3,12,0.2,10,0.2,12,0.2
DN22 9,E14000546,64.18,9.2350973,1.1,5.5,1.1,2.5,1.9,3.3,3.5,15.4,3107,3061,98.5,26,0.8,9,0.3,7,0.2
